name,abbreviation,jurisdiction,domain,description
General Data Protection Regulation,GDPR,European Union,Data Privacy,"EU regulation governing the collection, use, and storage of personal data of EU residents, with strict consent requirements and rights for data subjects."
Health Insurance Portability and Accountability Act,HIPAA,United States,Healthcare Privacy,"US federal law protecting the privacy and security of individually identifiable health information, requiring covered entities to implement safeguards."
California Consumer Privacy Act,CCPA,United States (California),Data Privacy,"California state law giving consumers the right to know about, delete, and opt out of the sale of their personal information collected by businesses."
System and Organization Controls 2,SOC 2,United States,Security & Compliance,"Auditing framework developed by AICPA for service organizations to demonstrate controls over security, availability, processing integrity, confidentiality, and privacy."
Payment Card Industry Data Security Standard,PCI-DSS,International,Payment Security,"Global security standard for organizations that handle branded credit cards, requiring protection of cardholder data and secure network infrastructure."
ISO/IEC 27001,ISO 27001,International,Information Security,"International standard specifying requirements for establishing, implementing, maintaining, and continually improving an information security management system."
Family Educational Rights and Privacy Act,FERPA,United States,Education Privacy,"US federal law protecting the privacy of student education records, giving parents and eligible students rights to access and control their records."
Children's Online Privacy Protection Act,COPPA,United States,Children's Privacy,"US federal law imposing requirements on operators of websites or online services directed to children under 13, requiring parental consent for data collection."
Federal Trade Commission Act,FTC Act,United States,Consumer Protection,"US federal law prohibiting unfair or deceptive acts or practices in commerce, enforced by the FTC to protect consumers and promote competition."
Financial Industry Regulatory Authority Rules,FINRA,United States,Financial Services,"Self-regulatory organization overseeing broker-dealers in the United States, setting rules for securities industry conduct and investor protection."
Basel III,Basel III,International,Banking Regulation,"International regulatory framework for banks developed by the Basel Committee on Banking Supervision, addressing capital adequacy, stress testing, and liquidity risk."
Anti-Money Laundering and Know Your Customer,AML/KYC,International,Financial Compliance,"Regulations requiring financial institutions to verify client identities and monitor transactions to prevent money laundering and terrorist financing."
NIST Cybersecurity Framework,NIST CSF,United States,Cybersecurity,"Voluntary framework developed by NIST providing standards, guidelines, and best practices for managing cybersecurity risk across critical infrastructure sectors."
Controlling the Assault of Non-Solicited Pornography and Marketing Act,CAN-SPAM,United States,Email Marketing,"US federal law establishing requirements for commercial email messages, giving recipients the right to stop receiving emails and specifying penalties for violations."
Telephone Consumer Protection Act,TCPA,United States,Telecommunications,"US federal law restricting telephone solicitations and the use of automated telephone equipment, regulating robocalls, autodialers, and unsolicited texts."
Gramm-Leach-Bliley Act,GLBA,United States,Financial Privacy,"US federal law requiring financial institutions to explain how they share and protect customers' private information, with Safeguards Rule for data security."
Personal Information Protection and Electronic Documents Act,PIPEDA,Canada,Data Privacy,"Canadian federal privacy law governing how private sector organizations collect, use, and disclose personal information in the course of commercial activities."
Privacy Act 1988,Australia Privacy Act,Australia,Data Privacy,"Australian federal law regulating how Australian government agencies and private sector organizations with turnover over $3M handle personal information."
Personal Data Protection Act,PDPA,Singapore,Data Privacy,"Singapore law governing the collection, use, and disclosure of personal data by private organizations, with obligations for data protection and individual rights."
Lei Geral de Proteção de Dados,LGPD,Brazil,Data Privacy,"Brazilian data protection law regulating the processing of personal data of individuals in Brazil, with rights for data subjects similar to GDPR."
